iter	Passed	Remaining
769	4757	57023
770	4762	57012
771	4768	57002
772	4774	56985
773	4779	56970
774	4784	56955
775	4790	56941
776	4796	56936
777	4802	56921
778	4807	56907
779	4813	56894
780	4818	56880
781	4824	56865
782	4830	56857
783	4835	56840
784	4841	56833
785	4846	56819
786	4851	56799
787	4857	56787
788	4863	56780
789	4869	56767
790	4875	56757
791	4880	56746
792	4886	56735
793	4892	56726
794	4898	56712
795	4903	56699
796	4909	56688
797	4914	56676
798	4920	56667
799	4926	56656
800	4932	56644
801	4938	56635
802	4943	56624
803	4951	56632
804	4957	56626
805	4963	56613
806	4968	56601
807	4974	56593
808	4980	56587
809	4986	56579
810	4992	56565
811	4998	56556
812	5004	56547
813	5009	56537
814	5016	56533
815	5021	56518
816	5027	56508
817	5032	56489
818	5038	56476
819	5043	56463
820	5049	56452
821	5054	56439
822	5060	56423
823	5065	56413
824	5073	56427
825	5082	56454
826	5092	56482
827	5102	56520
828	5119	56630
829	5125	56623
830	5131	56614
831	5137	56606
832	5142	56593
833	5150	56603
834	5157	56608
835	5163	56597
836	5168	56583
837	5174	56570
838	5180	56564
839	5185	56551
840	5191	56543
841	5197	56532
842	5204	56529
843	5209	56514
844	5215	56504
845	5221	56499
846	5227	56487
847	5232	56476
848	5239	56470
849	5244	56457
850	5250	56442
851	5255	56432
852	5261	56424
853	5267	56412
854	5272	56396
855	5278	56389
856	5284	56374
857	5289	56362
858	5295	56349
859	5301	56340
860	5306	56327
861	5312	56317
862	5318	56308
863	5323	56294
864	5329	56279
865	5334	56269
866	5340	56256
867	5346	56246
868	5352	56241
869	5362	56270
870	5378	56375
871	5391	56438
872	5396	56419
873	5402	56406
874	5407	56392
875	5412	56376
876	5418	56364
877	5423	56349
878	5429	56335
879	5435	56327
880	5440	56313
881	5446	56302
882	5451	56290
883	5457	56279
884	5462	56262
885	5468	56252
886	5474	56244
887	5480	56233
888	5485	56222
889	5492	56222
890	5499	56226
891	5508	56242
892	5517	56264
893	5525	56278
894	5531	56271
895	5537	56261
896	5542	56250
897	5549	56244
898	5554	56231
899	5560	56218
900	5565	56205
901	5571	56192
902	5577	56184
903	5582	56170
904	5588	56162
905	5593	56147
906	5599	56132
907	5605	56127
908	5611	56119
909	5617	56109
910	5622	56093
911	5627	56082
912	5633	56072
913	5639	56059
914	5644	56048
915	5650	56031
916	5655	56020
917	5661	56011
918	5667	56000
919	5673	55992
920	5679	55984
921	5685	55976
922	5690	55964
923	5696	55954
924	5702	55944
925	5707	55933
926	5713	55921
927	5720	55924
928	5726	55919
929	5733	55914
930	5741	55927
931	5747	55920
932	5753	55913
933	5759	55903
934	5764	55890
935	5770	55879
936	5776	55870
937	5781	55859
938	5787	55849
939	5794	55844
940	5800	55843
941	5807	55841
942	5812	55828
943	5818	55816
944	5824	55811
945	5830	55800
946	5835	55784
947	5841	55776
948	5847	55768
949	5852	55755
950	5858	55747
951	5864	55738
952	5870	55731
953	5876	55718
954	5881	55708
955	5887	55698
956	5893	55685
957	5899	55677
958	5904	55667
959	5910	55653
960	5915	55642
961	5921	55633
962	5927	55621
963	5933	55616
964	5938	55604
965	5944	55589
966	5949	55579
967	5955	55567
968	5961	55559
969	5967	55549
970	5972	55539
971	5978	55531
972	5984	55522
973	5990	55511
974	5995	55499
975	6000	55484
976	6006	55472
977	6011	55459
978	6017	55446
979	6022	55434
980	6028	55423
981	6033	55411
982	6039	55399
983	6045	55391
984	6051	55380
985	6056	55371
986	6062	55361
987	6069	55359
988	6074	55346
989	6080	55336
990	6085	55323
991	6091	55314
992	6096	55301
993	6102	55289
994	6107	55277
995	6113	55264
996	6119	55257
997	6124	55247
998	6131	55242
999	6136	55231
1000	6142	55224
1001	6148	55213
1002	6153	55199
1003	6159	55186
1004	6164	55177
1005	6170	55169
1006	6176	55160
1007	6182	55153
1008	6188	55145
1009	6194	55136
1010	6200	55127
1011	6205	55116
1012	6211	55103
1013	6217	55099
1014	6223	55090
1015	6228	55076
1016	6233	55061
1017	6239	55052
1018	6245	55044
1019	6250	55031
1020	6257	55028
1021	6263	55019
1022	6268	55005
1023	6274	54996
1024	6279	54987
1025	6285	54976
1026	6292	54978
1027	6298	54968
1028	6304	54959
1029	6309	54951
1030	6315	54942
1031	6321	54930
1032	6327	54923
1033	6332	54913
1034	6338	54902
1035	6345	54901
1036	6350	54889
1037	6356	54882
1038	6363	54886
1039	6369	54872
1040	6374	54858
1041	6380	54850
1042	6385	54839
1043	6390	54824
1044	6396	54816
1045	6402	54806
1046	6408	54795
1047	6413	54786
1048	6419	54776
1049	6425	54766
1050	6430	54754
1051	6436	54747
1052	6442	54741
1053	6448	54729
1054	6453	54720
1055	6459	54710
1056	6465	54702
1057	6470	54690
1058	6476	54679
1059	6481	54668
1060	6487	54657
1061	6493	54650
1062	6498	54637
1063	6504	54624
1064	6509	54616
1065	6515	54608
1066	6521	54599
1067	6527	54591
1068	6533	54580
1069	6538	54571
1070	6544	54564
1071	6549	54550
1072	6555	54539
1073	6561	54529
1074	6567	54521
1075	6572	54513
1076	6578	54500
1077	6583	54489
1078	6589	54479
1079	6594	54469
1080	6600	54459
1081	6605	54446
1082	6611	54436
1083	6617	54428
1084	6623	54422
1085	6629	54417
1086	6635	54412
1087	6642	54406
1088	6647	54398
1089	6653	54390
1090	6660	54385
1091	6666	54377
1092	6671	54369
1093	6677	54362
1094	6683	54350
1095	6688	54341
1096	6694	54331
1097	6700	54320
1098	6706	54314
1099	6712	54306
1100	6717	54296
1101	6723	54288
1102	6729	54278
1103	6734	54265
1104	6740	54256
1105	6745	54245
1106	6751	54233
1107	6756	54225
1108	6762	54219
1109	6768	54210
1110	6774	54203
1111	6780	54195
1112	6786	54185
1113	6792	54178
1114	6797	54169
1115	6804	54164
1116	6809	54154
1117	6815	54142
1118	6820	54133
1119	6826	54123
1120	6832	54115
1121	6838	54107
1122	6843	54098
1123	6849	54089
1124	6855	54078
1125	6861	54073
1126	6866	54062
1127	6871	54048
1128	6877	54037
1129	6883	54029
1130	6888	54017
1131	6893	54006
1132	6900	54001
1133	6906	53995
1134	6912	53988
1135	6918	53986
1136	6924	53978
1137	6930	53971
1138	6936	53960
1139	6941	53948
1140	6946	53936
1141	6952	53928
1142	6958	53922
1143	6967	53938
1144	6974	53937
1145	6981	53938
1146	6988	53939
1147	6994	53930
1148	7000	53928
1149	7007	53925
1150	7013	53918
1151	7019	53910
1152	7025	53903
1153	7031	53898
1154	7037	53893
1155	7048	53921
1156	7054	53915
1157	7060	53908
1158	7066	53904
1159	7076	53928
